LGA_CODE_2016,C11_85o_No_need_assist_M,C11_85o_No_need_assist_F,C11_85o_Need_assist_ns_M,C11_85o_Need_assist_ns_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_Total_Need_assist_M,C11_Total_Need_assist_F,C11_Total_No_need_assist_M,C11_Total_No_need_assist_F,C11_Total_Need_assist_ns_M,C11_Total_Need_assist_ns_F,C11_Total_T_M,C11_Total_T_F,C11_Total_T_P,C16_0_4_Need_assist_M,C16_0_4_Need_assist_F,C16_0_4_No_need_assist_M,C16_0_4_No_need_assist_F,C16_0_4_Need_assist_ns_M,C16_0_4_Need_assist_ns_F,C16_0_4_T_M,C16_0_4_T_F,C16_0_4_T_P,C16_5_14_Need_assist_M,C16_5_14_Need_assist_F,C16_5_14_No_need_assist_M,C16_5_14_No_need_assist_F,C16_5_14_Need_assist_ns_M,C16_5_14_Need_assist_ns_F,C16_5_14_T_M,C16_5_14_T_F,C16_5_14_T_P,C16_15_19_Need_assist_M,C16_15_19_Need_assist_F,C16_15_19_No_need_assist_M,C16_15_19_No_need_assist_F,C16_15_19_Need_assist_ns_M,C16_15_19_Need_assist_ns_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Need_assist_M,C16_20_24_Need_assist_F,C16_20_24_No_need_assist_M,C16_20_24_No_need_assist_F,C16_20_24_Need_assist_ns_M,C16_20_24_Need_assist_ns_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_34_Need_assist_M,C16_25_34_Need_assist_F,C16_25_34_No_need_assist_M,C16_25_34_No_need_assist_F,C16_25_34_Need_assist_ns_M,C16_25_34_Need_assist_ns_F,C16_25_34_T_M,C16_25_34_T_F,C16_25_34_T_P,C16_35_44_Need_assist_M,C16_35_44_Need_assist_F,C16_35_44_No_need_assist_M,C16_35_44_No_need_assist_F,C16_35_44_Need_assist_ns_M,C16_35_44_Need_assist_ns_F,C16_35_44_T_M,C16_35_44_T_F,C16_35_44_T_P,C16_45_54_Need_assist_M,C16_45_54_Need_assist_F,C16_45_54_No_need_assist_M,C16_45_54_No_need_assist_F,C16_45_54_Need_assist_ns_M,C16_45_54_Need_assist_ns_F,C16_45_54_T_M,C16_45_54_T_F,C16_45_54_T_P,C16_55_64_Need_assist_M,C16_55_64_Need_assist_F,C16_55_64_No_need_assist_M,C16_55_64_No_need_assist_F,C16_55_64_Need_assist_ns_M,C16_55_64_Need_assist_ns_F,C16_55_64_T_M,C16_55_64_T_F,C16_55_64_T_P,C16_65_74_Need_assist_M,C16_65_74_Need_assist_F,C16_65_74_No_need_assist_M,C16_65_74_No_need_assist_F,C16_65_74_Need_assist_ns_M,C16_65_74_Need_assist_ns_F,C16_65_74_T_M,C16_65_74_T_F,C16_65_74_T_P,C16_75_84_Need_assist_M,C16_75_84_Need_assist_F,C16_75_84_No_need_assist_M,C16_75_84_No_need_assist_F,C16_75_84_Need_assist_ns_M,C16_75_84_Need_assist_ns_F,C16_75_84_T_M,C16_75_84_T_F,C16_75_84_T_P,C16_85o_Need_assist_M,C16_85o_Need_assist_F,C16_85o_No_need_assist_M,C16_85o_No_need_assist_F,C16_85o_Need_assist_ns_M,C16_85o_Need_assist_ns_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_Total_Need_assist_M,C16_Total_Need_assist_F,C16_Total_No_need_assist_M,C16_Total_No_need_assist_F,C16_Total_Need_assist_ns_M,C16_Total_Need_assist_ns_F,C16_Total_T_M,C16_Total_T_F,C16_Total_T_P
LGA17900,17,14,5,8,37,38,76,236,169,2910,2559,346,235,3488,2966,6453,0,8,187,158,28,25,211,194,406,13,7,340,348,62,55,414,405,820,3,3,136,95,13,9,157,109,264,3,0,139,123,19,26,160,152,310,4,7,290,325,45,54,346,378,725,11,12,284,275,47,51,336,332,676,25,29,318,351,44,48,384,428,815,53,33,408,311,82,40,547,379,926,58,27,324,231,60,43,439,301,738,37,38,136,91,32,22,200,149,347,14,20,22,19,3,3,34,43,77,218,171,2582,2327,432,378,3235,2875,6107
LGA17950,9,14,0,3,17,26,47,72,61,1250,1252,68,65,1386,1370,2759,0,0,90,93,11,16,104,107,204,9,3,151,166,20,23,181,197,373,3,3,53,56,8,9,60,70,132,0,0,58,50,5,9,65,60,121,0,0,128,131,17,8,153,144,292,0,3,124,137,15,14,139,156,296,0,4,157,163,21,20,175,191,365,9,14,178,142,17,24,201,171,375,15,9,152,121,14,20,183,148,329,14,7,66,67,8,18,84,96,177,7,23,13,11,3,0,24,41,60,60,65,1170,1141,136,163,1366,1366,2732
LGA18020,44,77,14,20,90,181,266,343,321,4114,4149,346,315,4803,4784,9589,0,3,214,204,24,26,239,231,466,21,6,521,534,61,63,605,607,1213,6,7,230,203,13,19,257,233,488,12,3,169,156,29,21,207,179,390,22,9,290,347,43,48,352,396,749,21,13,367,397,51,54,436,471,900,18,26,517,548,60,87,601,662,1263,61,51,597,568,101,91,749,712,1461,68,58,564,507,88,75,715,637,1354,66,68,290,266,50,43,402,382,791,49,87,52,78,15,19,126,183,305,344,337,3812,3807,533,552,4689,4692,9384
LGA18050,220,406,63,99,452,932,1388,707,1053,26747,27788,3805,3386,31263,32227,63485,11,9,1947,1829,182,176,2139,2011,4154,57,36,3047,2911,289,225,3385,3165,6554,25,14,1099,1112,110,92,1228,1217,2451,15,14,1494,1726,194,224,1705,1964,3669,23,20,6317,7309,992,1088,7334,8415,15751,37,46,5322,5201,678,603,6041,5854,11890,51,60,3651,3579,438,402,4145,4043,8188,72,77,2425,2527,269,300,2766,2908,5670,113,128,1717,1940,224,245,2053,2321,4371,183,305,792,988,146,193,1121,1486,2611,218,473,273,320,76,159,566,941,1513,806,1183,28083,29438,3588,3710,32485,34334,66812
LGA18100,20,40,4,0,29,69,98,129,128,1632,1590,99,83,1859,1805,3665,0,0,77,85,13,11,89,95,187,5,0,203,186,16,9,229,198,431,3,0,74,85,5,14,88,102,184,3,0,61,46,6,8,67,50,114,7,3,107,119,14,12,129,140,260,9,13,168,166,15,21,186,192,381,22,11,196,207,21,22,235,245,479,24,26,243,227,31,29,298,280,583,28,24,250,236,28,26,308,284,590,21,34,118,109,15,19,152,153,309,22,29,34,48,5,5,59,82,148,138,149,1525,1510,169,176,1834,1831,3664
LGA18200,21,34,4,4,37,74,107,184,163,3042,2838,210,178,3431,3175,6610,7,0,205,169,24,18,235,188,423,20,14,379,360,40,41,442,416,855,4,0,177,167,27,10,209,179,397,6,0,136,143,13,26,152,172,324,0,5,285,285,52,46,344,338,679,15,6,313,332,38,40,368,383,744,20,12,418,394,56,47,501,452,947,26,24,452,418,77,49,552,494,1045,49,35,355,319,57,53,450,403,856,32,33,158,130,22,22,213,180,390,20,45,29,36,4,10,52,88,135,190,176,2907,2745,412,363,3512,3288,6794
LGA18230,148,224,26,37,279,585,865,1189,1330,20230,21645,1736,1164,23152,24145,47297,24,26,1621,1606,149,128,1791,1761,3551,189,88,3102,2946,262,226,3552,3266,6821,67,47,1369,1396,130,114,1571,1553,3126,45,36,1309,1352,253,135,1603,1525,3131,77,58,2668,3042,532,319,3274,3430,6701,68,68,2437,2680,384,253,2886,3009,5889,141,131,2616,2829,325,310,3083,3267,6350,213,181,2454,2764,300,278,2964,3223,6185,229,185,1803,1922,220,213,2255,2319,4576,235,303,839,1036,106,150,1184,1488,2671,140,321,219,259,49,83,412,666,1081,1421,1449,20437,21837,2711,2218,24566,25505,50077
LGA18250,273,432,28,60,479,1033,1508,756,1264,29990,31971,1714,1663,32464,34893,67355,18,10,2364,2271,139,96,2516,2374,4896,78,39,4637,4386,199,173,4915,4597,9510,32,32,1901,1871,82,68,2011,1973,3986,20,20,1997,2178,118,129,2134,2336,4472,36,31,4963,5567,333,387,5331,5989,11319,54,54,5523,6075,332,332,5904,6466,12373,56,65,4503,4915,243,269,4801,5243,10050,77,107,3244,3673,207,216,3521,3996,7522,137,201,2256,2511,153,165,2555,2881,5430,211,366,1057,1239,68,91,1334,1690,3022,268,616,331,380,49,79,647,1078,1731,999,1541,32768,35063,1912,2018,35686,38624,74302
LGA18350,203,314,27,44,391,779,1167,1040,1285,19219,20879,1008,961,21270,23124,44396,19,18,1126,1047,77,68,1223,1128,2358,131,58,2718,2737,206,193,3057,2998,6050,48,30,1295,1455,107,102,1450,1582,3037,32,22,891,817,68,60,990,900,1896,49,49,1772,1829,146,120,1973,1995,3972,74,58,2113,2445,188,193,2374,2694,5071,89,117,2692,3083,250,240,3025,3448,6470,151,141,2740,3140,204,265,3095,3547,6643,197,196,2895,3335,228,261,3309,3789,7096,248,323,1466,1551,139,140,1848,2014,3861,207,460,289,396,40,38,536,894,1428,1246,1455,19995,21831,1649,1702,22894,24988,47882
LGA18400,90,121,8,13,164,303,466,793,831,19867,19884,946,942,21607,21648,43261,28,32,1583,1464,126,82,1733,1576,3313,185,115,3451,3262,175,182,3810,3559,7370,80,38,1626,1520,70,81,1777,1636,3411,42,26,1312,1367,78,83,1432,1468,2902,58,38,2539,2706,182,187,2780,2927,5706,47,43,2941,3146,210,185,3188,3380,6573,89,72,3058,3151,190,203,3336,3432,6769,136,130,2629,2696,213,217,2977,3044,6014,176,174,1699,1667,165,123,2038,1967,4005,156,221,668,634,63,68,883,919,1808,113,224,113,148,19,31,247,404,652,1100,1116,21624,21768,1479,1434,24207,24314,48519
LGA18450,768,1009,107,152,1547,2718,4265,4951,6246,85667,86824,4631,4098,95249,97169,192419,80,48,5745,5544,323,283,6154,5878,12034,559,230,11498,11240,524,468,12584,11943,24521,227,133,6122,5925,307,298,6652,6357,13007,201,116,7483,6858,440,423,8125,7403,15523,322,262,11982,11951,800,717,13103,12929,26029,337,358,11732,12127,659,625,12732,13105,25840,541,560,11817,12131,742,669,13097,13362,26461,784,855,10266,10941,706,715,11759,12514,24276,973,1002,7433,8044,607,632,9013,9671,18688,1088,1698,3883,4401,424,503,5386,6605,11994,858,1839,909,1152,172,323,1942,3313,5253,5976,7111,88876,90311,5695,5666,100542,103087,203630
LGA18500,315,492,77,137,538,1009,1544,441,806,21272,23988,2848,2801,24562,27595,52159,10,8,1263,1240,118,119,1394,1372,2771,37,24,2593,2653,200,190,2834,2867,5701,12,15,1214,1204,90,72,1314,1285,2606,14,7,1199,1412,144,163,1355,1578,2934,16,20,3737,4681,437,534,4194,5237,9432,10,23,3302,3762,341,396,3656,4185,7838,38,41,2987,3326,293,344,3317,3704,7022,32,46,2418,2790,253,283,2705,3119,5833,71,88,2216,2598,262,295,2553,2981,5531,129,201,1032,1251,155,208,1319,1661,2981,170,430,338,445,78,137,588,1014,1599,547,893,22299,25371,2384,2748,25232,29009,54240
LGA18710,36,51,3,13,76,145,223,301,317,6749,6870,404,381,7450,7570,15020,10,4,497,442,37,29,541,473,1010,27,23,1112,1085,73,70,1208,1180,2391,21,5,454,483,33,37,499,526,1032,8,3,331,327,26,27,365,359,730,7,14,639,699,47,49,692,767,1458,19,23,946,1050,85,87,1045,1165,2211,34,46,1109,1152,77,92,1212,1286,2497,61,42,943,975,94,85,1097,1096,2192,49,51,701,676,63,64,803,787,1596,54,70,271,278,25,31,350,383,730,42,92,56,78,8,17,107,183,296,322,372,7049,7248,565,588,7931,8209,16142
LGA19399,4,3,0,0,7,8,14,20,8,521,466,23,19,565,495,1057,0,0,30,28,7,3,37,34,67,3,0,55,46,10,5,66,54,118,0,0,12,11,3,3,14,17,34,3,0,22,29,7,0,36,28,59,0,0,63,50,11,10,74,58,139,3,0,70,64,14,9,91,81,168,0,0,67,55,10,8,80,61,142,3,0,77,64,8,9,90,76,166,5,0,47,47,6,3,59,47,104,7,0,20,12,0,3,28,14,47,0,3,6,8,0,4,5,10,22,21,8,472,428,73,58,569,492,1056
LGA19499,15,17,9,18,50,71,122,386,297,5314,4236,1896,792,7593,5327,12917,0,3,170,135,16,12,188,149,338,6,0,162,171,27,24,202,200,402,7,0,203,183,70,50,285,232,517,11,9,571,477,162,124,746,615,1358,33,14,1089,801,484,273,1615,1091,2703,34,30,735,422,491,182,1269,629,1900,61,53,645,421,440,173,1148,646,1798,78,57,600,533,315,138,986,732,1722,63,29,500,356,163,90,719,477,1196,22,20,102,76,43,29,162,120,282,14,24,9,15,12,9,32,48,78,333,243,4791,3592,2224,1102,7351,4939,12288
LGA19799,0,0,0,0,0,0,0,0,5,50,52,6,3,56,55,112,0,0,4,3,3,0,10,4,14,0,0,11,10,0,4,7,14,22,0,0,3,8,0,0,3,7,12,3,0,3,3,3,0,9,4,9,0,0,8,15,0,4,11,24,32,0,0,16,14,0,0,18,14,34,3,0,17,21,0,3,25,31,50,3,5,19,43,0,6,22,53,74,6,4,36,51,4,5,48,60,108,4,3,11,15,5,4,16,24,42,3,0,0,4,0,0,3,7,10,16,16,137,195,18,30,171,239,412
