SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL14142,21,19,39,8,5,14,4,5,7,0,3,5,0,0,0,13,15,24,8,4,9,8.3,0,4,63.2,76.5,69.4,57.9,76.5,66.7,0,0,0,0,0,0,3,6,8,3,0,5,3,3,3,0,0,0,0,0,0,0,4,6,15,19,33,0,3,4,14,15,32,4,3,9
SAL14143,19,20,37,9,3,17,0,4,4,0,0,0,0,0,0,12,9,19,7,8,12,0,0,0,60,55.6,57.9,60,55.6,57.9,3,0,0,0,0,0,0,0,0,3,3,4,5,0,4,0,0,0,0,0,0,5,3,11,21,20,38,0,0,0,18,15,31,3,6,10
SAL14144,37,23,54,22,10,34,0,0,8,0,0,0,0,0,0,28,14,40,3,3,9,4.2,5.9,4.9,72.7,70.8,71.9,69.7,66.7,68.4,0,0,0,0,0,0,0,4,3,0,4,5,7,8,15,0,0,0,0,0,0,8,8,13,32,28,56,9,5,13,27,17,47,14,6,23
SAL14145,151,149,299,65,34,101,12,41,55,7,8,17,0,3,8,86,92,178,55,45,98,1.1,5.6,3.4,58.3,60.8,59.5,57.6,57.4,57.5,0,10,11,4,3,7,4,19,25,11,20,26,57,29,84,0,0,4,4,6,9,61,36,97,150,145,297,19,11,36,98,97,196,59,53,117
SAL14146,60,64,124,21,9,27,9,21,27,5,3,4,0,0,4,31,34,67,23,27,57,2.9,3,2.9,58.3,50.8,54.4,56.7,49.2,52.8,5,0,5,0,0,0,3,14,12,5,14,17,27,5,27,3,0,4,0,0,0,25,6,34,58,58,109,13,10,20,51,50,102,9,18,23
SAL14147,6,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,14,0,0,0,14.3,20,17.6,14.3,20,17.6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,0,0,0,3,7,10,0,0,5
SAL14148,14,14,31,12,8,22,0,9,9,0,0,0,0,0,0,14,11,24,6,0,3,0,0,0,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,0,5,6,3,12,19,17,37,0,0,0,13,10,23,5,7,13
SAL14149,47,48,95,23,16,39,3,8,9,4,4,11,0,0,0,30,32,58,12,16,26,3.3,3.3,3.3,66.7,58.8,62.5,64.4,56.9,60.4,0,0,0,0,0,0,0,8,13,7,6,12,4,0,11,0,0,0,0,3,3,8,10,18,43,49,86,4,4,4,36,32,61,6,11,20
SAL14150,35,49,90,6,4,12,5,22,24,4,0,5,0,3,3,15,28,43,19,23,38,6.3,10,8.7,44.4,60,53.5,41.7,54,48.8,0,0,0,0,0,0,5,6,14,10,4,14,13,13,24,0,0,0,0,0,4,13,10,27,36,45,79,9,8,17,26,19,43,17,28,47
SAL14151,26,20,48,12,4,21,0,5,8,0,0,0,0,0,0,21,11,27,4,6,17,0,0,0,65.4,50,58.7,65.4,50,58.7,0,3,3,0,0,0,3,4,7,0,0,0,3,4,6,0,0,0,0,0,0,3,4,6,26,22,51,3,0,5,19,12,33,6,4,12
SAL14152,23,17,42,0,0,5,0,8,6,0,0,0,0,0,0,11,13,21,8,8,17,12.5,8.3,10,42.1,57.1,50,36.8,52.4,45,0,0,4,0,3,6,3,5,3,3,6,4,6,3,8,0,0,0,0,0,0,6,3,8,22,24,44,0,0,0,19,15,28,6,10,12
SAL14153,1227,1275,2501,386,221,609,146,285,431,50,63,106,37,25,54,608,591,1197,550,626,1174,5.6,3.9,4.8,49.5,46.3,47.9,46.7,44.5,45.6,53,67,119,20,41,62,118,190,308,114,164,276,398,178,579,5,21,29,29,39,70,442,234,676,1186,1207,2396,172,163,330,830,870,1703,455,449,901
SAL14154,79,72,155,45,24,72,10,11,20,0,0,3,0,0,4,56,41,98,14,27,38,1.8,2.3,2,71.8,57.3,64.7,70.5,56,63.4,0,5,0,0,7,5,3,14,21,4,5,11,34,12,42,0,0,0,3,6,5,34,18,50,76,71,154,9,5,14,60,61,122,23,15,37
SAL14155,33,27,63,20,14,40,3,7,10,0,0,0,0,0,0,23,21,46,10,5,13,0,0,0,69.4,76.9,72.6,69.4,76.9,72.6,0,0,4,0,0,0,5,5,5,4,8,6,5,4,9,0,0,3,0,0,0,4,4,15,32,26,52,8,4,6,25,22,47,13,4,15
SAL14156,22,12,38,15,3,15,0,3,9,0,0,0,0,0,0,17,7,23,4,3,11,6.7,0,4.2,71.4,60,66.7,66.7,60,63.9,0,0,0,0,0,0,0,3,10,3,3,6,4,0,4,0,0,0,0,0,0,6,0,6,24,18,45,3,5,3,22,16,38,6,3,12
SAL14157,33,42,78,11,7,21,7,3,8,0,0,3,0,0,0,21,13,35,13,19,37,5.6,0,2.9,48.6,39,43.6,45.9,39,42.3,7,6,10,0,4,4,8,5,15,3,9,12,8,3,16,0,0,0,0,0,3,12,12,14,29,30,62,10,8,20,25,28,52,9,9,22
SAL14158,799,901,1701,299,196,488,127,212,343,29,37,61,21,21,39,471,461,932,279,371,652,4.2,4.1,4.2,59.3,51.1,54.9,56.8,48.9,52.6,67,48,112,3,23,24,111,153,259,72,87,160,156,106,259,3,12,13,16,20,36,177,141,309,754,830,1585,124,129,253,495,568,1061,342,353,692
SAL14159,1976,2351,4327,726,572,1296,337,541,875,62,95,152,74,46,117,1195,1252,2448,608,772,1381,6,3.7,4.8,60.4,53.4,56.6,56.8,51.4,53.9,111,129,241,25,66,95,276,428,708,115,204,322,425,262,691,32,36,66,23,44,69,479,349,829,1664,1823,3485,399,428,825,977,1051,2030,966,1096,2058
SAL14160,1388,1331,2715,493,315,807,287,386,673,64,66,124,58,45,103,896,814,1712,432,456,891,6.2,5.5,5.9,64.6,61.3,63,60.6,58,59.3,83,74,161,14,27,48,213,237,451,93,114,208,279,176,450,13,14,37,10,30,43,308,224,527,1176,1101,2281,349,323,674,684,663,1347,779,699,1481
SAL14161,26,24,50,21,3,22,0,14,14,0,0,0,0,0,0,23,21,38,5,3,8,0,0,0,80,75,77.6,80,75,77.6,0,0,0,0,0,0,3,0,0,0,0,0,5,3,10,0,5,5,0,0,0,5,10,16,28,23,53,5,0,9,27,22,47,9,5,9
SAL14162,367,320,691,120,61,176,56,79,134,20,15,29,8,3,13,202,155,361,136,141,275,5.5,1.3,3.6,54.5,49.1,52,51.5,48.4,50.1,11,9,15,3,5,10,11,33,45,18,35,49,113,55,167,8,9,14,8,6,11,127,63,188,327,293,618,64,54,115,223,192,418,147,140,287
SAL14163,33,30,68,10,10,22,8,7,12,0,4,9,0,0,4,25,19,44,11,9,26,4.3,10,7,63.9,64.5,64.2,61.1,58.1,59.7,0,0,3,0,0,0,4,4,6,0,7,6,13,5,17,0,0,0,4,0,3,19,5,18,41,31,76,0,3,3,29,19,47,18,10,29
SAL14164,12,7,20,5,3,11,4,4,5,0,0,0,0,0,0,13,7,18,5,3,5,18.2,0,11.8,78.6,66.7,73.9,64.3,66.7,65.2,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,7,0,5,15,13,27,0,0,0,12,10,19,0,0,6
SAL14165,87,78,160,18,4,28,11,17,26,0,4,6,10,0,10,42,27,66,40,42,83,15.4,3.7,10.6,46.4,35.1,41,39.3,33.8,36.6,0,0,0,0,0,0,4,4,13,0,13,15,19,7,26,0,3,3,3,0,9,24,15,35,71,66,134,13,9,27,45,48,92,35,34,66
SAL14166,556,686,1241,233,197,436,75,122,193,42,47,83,13,6,25,362,373,734,184,286,469,4.2,2.1,3.1,64.4,55,59.2,61.7,53.8,57.4,51,49,102,8,14,19,135,170,302,59,88,142,87,45,131,5,7,12,11,31,37,99,82,179,578,673,1253,105,103,203,390,489,880,253,250,506
SAL14167,595,638,1231,204,129,336,55,122,179,19,22,39,15,14,31,290,283,578,265,302,562,5.1,4.6,4.9,49.3,44.6,46.9,46.8,42.6,44.6,5,5,10,4,11,13,22,63,90,17,61,79,146,89,235,3,9,18,4,16,22,151,113,270,574,592,1172,76,75,153,421,449,875,203,196,402
SAL14168,87,57,143,24,16,40,6,7,18,0,0,0,3,0,8,43,27,63,35,25,60,17.1,7.7,13.4,47.7,44.8,46.5,39.5,41.4,40.3,4,0,4,0,0,0,4,8,13,0,0,4,19,6,26,3,0,3,6,3,0,17,9,27,87,63,148,9,4,9,64,41,108,26,21,45
SAL14169,2485,2703,5190,629,392,1013,257,489,748,134,178,314,103,60,165,1120,1115,2236,1123,1323,2452,9.5,5.3,7.4,45.1,41.3,43.1,40.8,39.1,39.9,35,44,79,9,32,38,105,189,293,126,209,335,646,388,1037,29,61,87,39,67,103,714,519,1231,2397,2496,4895,301,356,659,1752,1802,3554,809,911,1719
SAL14170,14,16,32,9,8,17,3,4,9,0,5,5,0,0,0,13,13,26,3,6,4,8.3,0,4,75,76.5,75.8,68.8,76.5,72.7,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,0,4,0,0,0,7,11,18,17,13,28,3,4,8,7,11,20,6,9,16
SAL14171,3174,3747,6916,1319,864,2181,417,990,1404,119,149,264,92,57,146,1937,2060,4001,1115,1547,2664,4.6,2.8,3.7,61.1,55,57.8,58.3,53.5,55.7,151,157,309,45,105,152,428,637,1068,287,454,741,920,470,1389,27,73,100,60,135,188,1002,678,1679,3180,3618,6792,499,535,1030,2093,2413,4506,1402,1612,3018
SAL14172,285,275,559,100,56,157,41,82,119,23,20,46,17,11,28,182,173,355,90,95,178,8.7,7,7.9,64.2,62.3,63.3,58.6,58,58.3,3,7,9,0,4,10,9,28,40,18,28,50,111,55,164,7,6,8,7,14,21,119,71,191,273,266,537,59,68,122,190,172,354,130,135,261
SAL14173,6,0,4,6,0,6,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,3
SAL14174,44,31,77,19,5,28,0,13,16,3,3,7,0,0,0,29,21,53,10,7,21,3.7,4,3.8,62.8,73.5,67.5,60.5,70.6,64.9,0,0,0,0,0,0,4,9,11,5,4,11,4,8,13,0,0,0,0,0,0,9,8,13,42,35,77,3,0,7,39,27,62,7,8,12
SAL14175,36,28,70,14,9,23,4,7,11,4,0,4,0,0,0,21,11,33,15,19,31,0,0,0,54.1,45.2,50,54.1,45.2,50,0,0,0,0,0,0,0,5,3,0,0,6,17,8,18,0,0,0,0,0,0,18,10,23,44,33,74,3,0,3,34,28,62,7,8,12
SAL14176,488,467,951,236,125,366,43,92,134,39,40,82,12,8,24,336,268,605,132,177,310,3.9,4.1,4,68.2,58.2,63.3,65.5,55.8,60.8,4,9,13,3,12,16,10,42,49,17,41,61,189,100,286,4,15,20,5,13,21,201,128,321,537,492,1031,51,55,100,377,350,733,169,154,323
SAL14177,47,32,82,24,11,36,6,17,16,0,0,5,4,0,4,30,23,60,7,10,13,5.9,0,3.4,73.9,70.6,72.5,69.6,70.6,70,3,0,6,0,0,0,0,5,9,0,3,5,11,9,13,0,0,0,0,0,4,15,10,17,45,40,82,4,0,7,44,32,76,11,6,20
SAL14178,17,22,38,9,3,17,3,5,7,0,0,3,0,0,0,11,16,30,3,5,8,0,0,0,81.3,65,72.2,81.3,65,72.2,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,4,0,6,15,18,35,0,0,10,11,13,29,4,5,9
SAL14179,26,25,53,14,12,22,3,10,12,0,5,4,0,0,0,19,25,44,7,5,9,4.5,4.5,4.5,84.6,84.6,84.6,80.8,80.8,80.8,0,0,0,0,0,0,4,4,6,0,4,4,6,0,11,0,0,0,0,0,0,6,4,9,37,27,66,3,0,4,29,19,50,8,9,19
SAL14180,34,32,62,22,11,33,0,11,13,0,0,7,0,0,0,30,25,49,0,3,5,3.6,0,2,87.5,71.9,79.7,84.4,71.9,78.1,0,0,3,0,0,3,3,6,12,3,0,6,10,5,12,0,0,0,0,0,0,10,4,11,29,30,58,5,3,11,17,21,39,14,11,27
SAL14181,189,184,370,103,50,152,10,51,62,11,13,25,3,3,4,126,112,246,56,54,111,2.4,1.7,2.1,66.8,63.5,65.2,65.3,62.4,63.9,0,9,8,3,6,7,18,25,38,13,24,35,52,24,76,0,6,6,5,4,11,59,36,92,185,160,341,33,41,77,127,109,242,69,74,144
SAL14182,18,15,32,6,3,9,4,0,4,0,0,0,0,0,0,17,0,19,3,4,10,7.1,0,5.6,63.6,33.3,52.9,59.1,33.3,50,0,0,0,0,0,0,5,4,7,0,0,0,0,0,8,0,0,0,0,0,0,6,0,8,23,10,28,0,0,0,17,5,19,3,7,6
SAL14183,1259,1337,2597,562,375,943,193,284,479,51,81,132,26,25,51,835,763,1600,391,536,932,3.3,3.1,3.3,66.4,57.2,61.7,64.2,55.4,59.7,259,240,500,43,51,94,430,427,854,81,146,227,58,35,95,0,5,9,17,33,51,77,80,155,1295,1324,2616,222,239,461,857,889,1748,605,623,1227
SAL14184,41,35,74,13,0,17,0,9,12,3,3,3,0,0,0,14,14,34,5,8,12,0,6.3,3,45.9,43.2,44.6,45.9,40.5,43.2,0,0,0,0,0,0,0,9,9,0,0,0,8,0,9,0,0,0,0,0,0,6,5,11,28,33,61,0,0,0,25,25,51,3,4,9
SAL14185,1837,1953,3786,412,235,650,201,292,488,84,108,191,77,61,137,772,695,1464,908,1085,1996,10.1,8.7,9.4,42.1,35.5,38.7,37.8,32.4,35.1,32,34,69,13,19,28,87,122,212,71,133,206,358,226,585,15,38,56,26,41,73,408,308,718,1827,1883,3711,231,250,475,1285,1331,2616,639,670,1316
SAL14186,6,9,19,0,0,0,0,3,3,0,0,0,0,0,0,0,3,6,5,7,12,0,0,0,30,20,25,30,20,25,0,0,0,0,0,0,5,0,5,0,0,0,3,0,6,0,0,0,0,0,0,3,0,6,10,8,19,0,0,0,10,6,14,0,4,0
SAL14187,18,13,26,7,4,4,3,0,5,0,0,0,0,0,0,10,4,9,4,5,9,0,0,0,57.1,41.7,50,57.1,41.7,50,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,0,0,0,0,0,0,3,4,7,12,16,26,0,0,0,8,9,14,0,4,3
SAL14188,114,113,220,35,20,57,16,26,41,7,4,12,7,3,8,65,51,116,44,50,90,9.5,3.7,6.8,56.3,49.1,52.7,50.9,47.3,49.1,0,6,6,0,0,0,4,10,14,4,14,14,37,21,55,0,3,3,3,6,4,40,31,70,119,110,228,8,10,24,86,84,165,32,31,70
SAL14189,497,526,1028,226,129,353,32,110,140,15,15,31,16,12,25,284,269,552,162,210,376,5.3,4.1,4.7,57,50.5,53.7,54,48.4,51.1,11,7,17,4,8,12,19,60,80,22,49,67,118,49,170,6,12,13,4,6,13,126,67,191,469,490,959,71,78,152,342,365,702,172,176,341
SAL14190,50,54,107,28,25,55,4,12,19,4,0,5,0,0,0,37,39,74,12,13,24,0,2.5,1.3,70,72.7,71.4,70,70.9,70.5,3,9,12,0,0,0,12,8,17,10,11,18,14,10,25,0,0,0,0,3,3,14,10,28,63,58,122,7,12,16,38,33,62,25,33,65
SAL14191,3041,3502,6545,1449,895,2342,461,924,1381,156,255,416,54,61,112,2122,2129,4253,732,1104,1838,2.6,2.7,2.7,69.7,60.8,64.9,67.9,59.1,63.2,234,214,444,48,99,145,577,822,1398,325,502,830,660,321,977,18,43,57,75,116,195,756,474,1227,3198,3474,6675,532,597,1132,2011,2199,4213,1500,1643,3142
SAL14192,991,938,1927,453,294,747,153,251,402,65,77,145,29,16,43,700,636,1338,268,280,544,3.9,2.8,3.4,70.6,67.6,69.2,67.9,65.7,66.8,78,87,159,28,56,85,189,247,437,100,123,216,240,101,340,4,5,18,29,19,48,278,137,412,1094,1047,2140,114,99,218,826,777,1606,322,295,620
SAL14193,49,45,95,33,19,52,3,14,14,0,0,0,0,0,0,40,32,69,11,6,16,0,0,0,79.2,75,77.2,79.2,75,77.2,0,0,4,0,0,0,7,13,19,3,3,3,14,8,22,0,0,0,4,0,4,17,13,28,55,53,117,0,0,0,42,39,85,7,8,18
SAL14194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14195,2514,2491,5005,691,474,1165,302,319,617,190,122,312,141,105,244,1325,1014,2339,907,1219,2130,10.5,10.4,10.4,52.7,40.7,46.7,47.2,36.5,41.8,157,155,316,14,33,46,345,386,729,212,241,458,319,240,565,21,47,67,36,53,84,377,340,718,2238,2264,4505,455,461,918,1156,1204,2361,1359,1341,2699
SAL14196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14197,19,16,34,9,0,13,5,5,12,0,0,0,0,0,0,14,6,20,3,9,8,0,0,0,78.9,41.2,61.1,78.9,41.2,61.1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,8,3,7,21,16,36,0,0,0,15,17,29,5,4,9
SAL14198,12,13,26,0,0,0,0,0,10,0,0,0,0,0,0,8,0,9,8,6,18,14.3,0,9.1,43.8,33.3,39.3,37.5,33.3,35.7,3,0,3,0,0,0,0,8,12,0,0,4,3,0,3,0,0,0,0,0,0,3,0,3,19,15,35,0,0,0,17,7,22,8,7,11
SAL14199,1523,1624,3146,564,331,897,201,295,489,80,99,182,58,55,114,897,783,1681,502,713,1219,6.4,6.8,6.6,59.1,48,53.4,55.3,44.8,49.9,28,28,51,11,24,32,109,150,257,90,171,263,390,315,702,20,44,65,22,33,54,432,390,821,1519,1594,3116,257,264,515,974,1005,1976,676,746,1425
SAL14200,211,208,416,96,48,146,26,55,80,11,21,31,3,3,7,140,133,269,58,73,132,3.5,1.5,2.6,67.8,62.5,65.1,65.4,61.5,63.5,14,12,21,0,4,3,23,35,52,10,26,40,72,35,104,0,0,0,3,12,11,74,44,115,221,219,441,29,34,62,186,175,359,58,59,121
SAL14201,8188,6922,15106,3586,2574,6165,1014,1043,2055,449,431,880,328,275,604,5379,4326,9704,2007,2022,4027,6.1,6.4,6.2,65.7,62.5,64.2,61.7,58.5,60.2,1085,1057,2141,174,185,353,2415,2270,4682,710,644,1350,748,352,1104,41,44,85,99,94,194,895,488,1381,5303,4502,9802,2597,2325,4922,2349,2036,4389,5280,4530,9807
SAL14202,13,19,35,3,3,7,9,3,10,0,4,4,0,0,0,10,14,20,5,7,13,0,9.1,5,56.3,68.8,62.5,56.3,62.5,59.4,0,0,0,0,0,5,4,3,9,6,0,5,0,0,4,0,0,0,0,0,0,3,0,5,14,14,33,5,0,10,8,13,23,8,8,16
SAL14203,50,31,79,15,4,20,6,8,11,0,3,6,3,0,3,27,19,39,26,9,34,12,0,7.1,49,58.6,52.5,43.1,58.6,48.8,0,0,0,0,0,0,0,4,4,5,4,9,8,0,14,0,0,0,0,3,0,11,5,17,47,28,72,11,0,11,40,16,59,10,10,15
SAL14204,553,581,1134,213,116,326,66,149,213,17,23,34,12,17,35,303,306,606,223,250,479,4.6,5.9,5.3,55.3,52.3,53.8,52.7,49.2,50.9,6,13,17,5,12,14,34,68,97,35,59,93,193,110,302,7,17,24,10,13,29,212,140,354,594,601,1197,60,52,116,444,460,904,167,176,340
SAL14205,405,350,752,207,98,302,42,63,104,10,12,23,9,3,9,262,181,443,94,134,232,1.9,2.8,2.3,64.7,51.6,58.6,63.5,50.1,57.3,46,47,91,0,7,9,112,113,228,25,24,47,39,14,51,0,4,4,6,5,10,41,20,61,300,296,593,111,72,188,190,200,390,203,165,364
SAL14206,48,38,84,17,11,30,0,6,5,0,0,3,3,0,4,23,18,41,17,20,32,14.8,5.6,11.1,56.3,50,53.6,47.9,47.2,47.6,0,0,0,0,0,0,4,8,11,7,10,15,15,0,21,0,0,0,3,0,4,20,0,22,44,34,74,6,6,12,39,25,65,10,8,21
SAL14207,34,32,61,8,4,6,11,11,17,0,0,0,0,0,0,18,15,28,13,16,29,0,0,0,51.5,44.8,48.4,51.5,44.8,48.4,3,9,9,3,0,5,15,6,21,3,5,9,5,0,5,0,0,0,0,0,0,5,0,5,30,23,59,5,3,7,16,15,33,18,15,28
SAL14208,98,84,181,38,21,53,11,16,26,5,4,10,0,0,0,50,45,95,36,34,67,0,2.3,1.1,52,51.8,51.9,52,50.6,51.4,0,0,0,0,0,0,3,8,15,0,8,5,30,16,43,0,6,8,0,0,0,34,20,54,90,83,175,3,3,12,71,58,128,18,26,44
SAL14209,126,110,230,37,23,62,17,25,41,0,0,3,5,0,5,61,53,114,55,39,94,5,1.8,3.5,48.4,50.9,49.6,46,50,47.8,0,0,0,0,0,3,3,14,15,8,9,19,36,23,63,0,6,5,3,0,3,43,29,72,115,101,211,15,9,32,78,66,145,50,38,85
SAL14210,3363,3489,6856,1604,1173,2774,386,719,1104,383,333,715,106,71,182,2477,2294,4771,786,1108,1893,4.3,3.2,3.8,73.8,65.7,69.7,70.6,63.6,67,209,252,461,46,80,129,548,788,1341,384,449,832,780,377,1161,24,65,86,59,91,153,868,534,1399,3798,3842,7638,455,457,909,2633,2684,5316,1333,1359,2690
SAL14211,476,453,928,279,107,380,63,151,213,22,29,53,9,4,16,368,293,658,96,151,246,1.9,2.4,2.1,77.1,64.9,71.2,75.7,63.3,69.7,9,5,16,4,10,13,46,67,111,33,35,70,188,91,280,4,19,13,0,22,28,194,126,319,524,495,1021,80,65,142,386,349,731,192,187,378
SAL14212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14213,25,22,44,16,12,25,4,11,10,0,0,0,0,0,0,17,22,38,5,5,13,0,0,0,69.6,84,77.1,69.6,84,77.1,0,0,0,0,0,0,0,9,4,3,5,10,13,4,17,0,0,0,0,0,0,11,3,19,31,35,64,0,0,0,23,20,44,9,14,19
SAL14214,2441,2891,5335,841,525,1371,279,672,951,69,78,149,87,77,165,1278,1358,2631,1005,1375,2387,6.7,5.8,6.2,52.2,47,49.4,48.7,44.3,46.3,21,29,54,11,43,55,90,229,314,120,309,427,743,529,1273,40,79,118,52,80,132,833,688,1522,2408,2702,5110,454,522,973,1531,1748,3276,1156,1319,2474
SAL14215,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,100,33.3,60,100,33.3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3
SAL14216,60,39,103,24,3,28,9,12,18,3,0,3,0,0,0,39,15,49,27,28,53,2.9,6.3,3.9,57.4,39,50,55.7,36.6,48,0,0,0,0,0,0,7,4,11,8,5,10,23,5,31,0,3,5,0,3,4,23,13,32,54,38,92,7,0,8,41,30,63,20,13,35
SAL14217,1560,1921,3486,774,683,1459,191,351,538,65,107,172,25,24,48,1051,1167,2221,359,532,888,2.4,2.1,2.2,67.5,60.6,63.7,65.9,59.3,62.3,222,261,479,37,72,106,492,623,1118,110,181,292,163,74,236,8,13,17,22,34,51,196,112,306,1401,1635,3038,334,419,757,817,960,1779,816,979,1791
SAL14218,30,31,65,22,16,35,3,9,16,0,0,0,0,0,0,23,27,49,3,8,6,0,0,0,80,72.7,76.2,80,72.7,76.2,0,0,0,0,0,0,0,5,9,0,0,0,14,6,18,0,0,0,0,0,0,14,9,23,27,26,51,0,5,10,18,23,41,13,9,20
SAL14219,1191,1424,2613,659,580,1242,135,241,371,39,78,114,36,27,61,865,931,1797,286,438,715,4.2,3,3.6,72.7,65.4,68.7,69.7,63.4,66.3,254,279,534,49,84,131,440,568,1007,89,118,208,81,44,129,5,5,13,13,29,38,98,72,175,1031,1209,2239,276,317,600,567,713,1278,680,769,1450
SAL14220,122,114,234,24,23,48,22,29,52,3,3,13,6,3,13,61,60,123,50,38,91,10.2,8.3,9.2,48.8,54.1,51.3,43.8,49.5,46.6,3,8,7,0,4,4,10,22,38,9,22,27,41,12,54,0,0,3,0,6,9,44,22,66,112,102,218,11,10,26,84,71,153,39,37,79
SAL14221,61,48,111,24,16,44,4,9,16,3,5,10,0,0,4,36,26,63,16,16,35,2.7,3.7,3.1,61.7,54,58.2,60,52,56.4,0,0,0,0,0,0,8,16,19,7,7,8,18,4,28,0,0,0,0,0,0,18,4,24,52,42,93,0,4,12,38,32,68,15,16,36
SAL14222,28,20,43,10,5,14,3,6,4,0,0,0,0,0,0,13,13,21,13,11,22,7.1,0,4,51.9,57.9,54.3,48.1,57.9,52.2,0,0,0,0,0,0,0,3,3,0,0,0,8,0,7,0,0,0,0,0,0,6,4,11,26,19,41,0,0,0,20,13,36,3,6,7
SAL14223,19,13,32,7,4,9,0,4,0,0,0,0,0,0,0,11,5,17,5,8,5,0,16.7,5.9,61.1,46.2,54.8,61.1,38.5,51.6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,5,0,7,17,11,28,0,0,4,5,9,12,8,6,9
